LEXEMA              TOKEN     PTS       LÍNEA     
--------------------------------------------------
clase               -1        -1        4         
@Banco              -300      -2        4         
{                   -147      -1        4         
var                 -6        -1        7         
entero              -5        -1        7         
&edad               -302      -2        7         
;                   -140      -1        7         
var                 -6        -1        8         
real                -10       -1        8         
%saldo              -303      -2        8         
,                   -143      -1        8         
%tasa               -303      -2        8         
;                   -140      -1        8         
var                 -6        -1        9         
cadena              -19       -1        9         
$nombre             -301      -2        9         
;                   -140      -1        9         
vacio               -11       -1        12        
@Main               -300      -2        12        
(                   -145      -1        12        
)                   -146      -1        12        
{                   -147      -1        12        
leer                -2        -1        13        
$nombre             -301      -2        13        
;                   -140      -1        13        
si                  -12       -1        15        
(                   -145      -1        15        
&edad               -302      -2        15        
>=                  -124      -1        15        
18                  -401      -1        15        
)                   -146      -1        15        
{                   -147      -1        15        
escribir            -7        -1        16        
(                   -145      -1        16        
"Bienvenido al sistema bancario"-400      -1        16        
)                   -146      -1        16        
;                   -140      -1        16        
}                   -148      -1        17        
sino                -17       -1        18        
{                   -147      -1        18        
escribir            -7        -1        19        
(                   -145      -1        19        
"Acceso denegado"   -400      -1        19        
)                   -146      -1        19        
;                   -140      -1        19        
salir               -20       -1        20        
;                   -140      -1        20        
}                   -148      -1        21        
mientras            -18       -1        24        
(                   -145      -1        24        
%saldo              -303      -2        24        
>                   -123      -1        24        
0                   -401      -1        24        
)                   -146      -1        24        
{                   -147      -1        24        
escribir            -7        -1        25        
(                   -145      -1        25        
"Saldo actual: "    -400      -1        25        
)                   -146      -1        25        
;                   -140      -1        25        
escribir            -7        -1        26        
(                   -145      -1        26        
%saldo              -303      -2        26        
)                   -146      -1        26        
;                   -140      -1        26        
%saldo              -303      -2        27        
-=                  -110      -1        27        
100                 -401      -1        27        
;                   -140      -1        27        
}                   -148      -1        28        
repite              -13       -1        31        
{                   -147      -1        31        
escribir            -7        -1        32        
(                   -145      -1        32        
"Operación en curso..."-400      -1        32        
)                   -146      -1        32        
;                   -140      -1        32        
}                   -148      -1        33        
mientras            -18       -1        33        
(                   -145      -1        33        
%saldo              -303      -2        33        
<                   -120      -1        33        
500                 -401      -1        33        
)                   -146      -1        33        
;                   -140      -1        33        
switch              -3        -1        36        
(                   -145      -1        36        
&edad               -302      -2        36        
)                   -146      -1        36        
{                   -147      -1        36        
encaso              -8        -1        37        
18                  -401      -1        37        
:                   -144      -1        37        
{                   -147      -1        37        
escribir            -7        -1        38        
(                   -145      -1        38        
"Cliente nuevo"     -400      -1        38        
)                   -146      -1        38        
;                   -140      -1        38        
}                   -148      -1        39        
encaso              -8        -1        40        
30                  -401      -1        40        
:                   -144      -1        40        
{                   -147      -1        40        
escribir            -7        -1        41        
(                   -145      -1        41        
"Cliente preferente"-400      -1        41        
)                   -146      -1        41        
;                   -140      -1        41        
}                   -148      -1        42        
}                   -148      -1        43        
regresar            -15       -1        45        
;                   -140      -1        45        
}                   -148      -1        46        
metodo              -16       -1        49        
@Actual             -300      -2        49        
(                   -145      -1        49        
)                   -146      -1        49        
{                   -147      -1        49        
escribir            -7        -1        50        
(                   -145      -1        50        
"Actualizando datos..."-400      -1        50        
)                   -146      -1        50        
;                   -140      -1        50        
ejecutar            -14       -1        51        
@Main               -300      -2        51        
;                   -140      -1        51        
}                   -148      -1        52        
}                   -148      -1        53        
